Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
THALASSEMIA MUTATIONS,Laboratory, Isha Diagnostics,24 hrs,25000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SMEAR FOR GONORRHEA,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GENE XPERT,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - BLOOD(AUTOMATED),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOLOGY -SPUTUM FOR MALIGNANT CELLS,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Hepatitis C Virus Genotyping,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HSV 1&2 DNA Qualitative PCR,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANAEROBIC URINE CULTURE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOGENETIC ANALYSIS - Y CHROMOSOME-FISH,Laboratory, Isha Diagnostics,24 hrs,7000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Neisseria Gonorrhoae Qualitative PCR,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CSF CYTOLOGY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLEURAL FLUID CYTOLOGY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SPUTUM CYTOLOGY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE CYTOLOGY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOLOGY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BONE MARROW,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CELL BLOCK STUDY,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOLOGY - FLUID FOR MALIGNANT CELLS,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FNAC REPORTING,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"FNAC,INCLUDING PROCEDURE",Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLGY - CORE/ TRUCUT BIOPSY,Laboratory, Isha Diagnostics,24 hrs,750,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY - ANIMAL SAMPLES,Laboratory, Isha Diagnostics,24 hrs,750,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY - BONE MARROW BIOPSY ( WITH PROCEDURE ),Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HISTOPATHOLOGY - KIDNEY BIOPSY, LIGHT MICROSCOPY",Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HISTOPATHOLOGY - KIDNEY BIOPSY,WITH IMMUNOFLOURESCENCE",Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY - MEDIUM,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HISTOPATHOLOGY - ONCOPATHOLOGY,TUMOUR STAGING AND GRADING",Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY - PERINATAL AUTOPSY,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HISTOPATHOLOGY - SKIN BIOPSY, LIGHT MICROSCOPY",Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HISTOPATHOLOGY - SKIN BIOPSY, WITH IMMUNOFLOURESCENCE",Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY - SMALL,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY / ONCOPATHOLOGY REPORT,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY FOR SLIDE AND BLOCK PREPARATION(PER BLOCK AND SLIDE),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY SLIDE/BLOCK FOR SECOND OPINION,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PAP SMEAR REPORTING,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"PAP SMEAR, INCLUDING THE PROCEDURE",Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ER/PR Hir 2 Neu Ki - 67,Laboratory, Isha Diagnostics,24 hrs,8000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY LARGE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BIOPSY EXTRA LARGE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IMMUNOHISTOCHEMISTRY REPORT,Laboratory, Isha Diagnostics,24 hrs,33000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY REPORT,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GIEMSA STAIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BIOPSY SMALL SPECIMEN,Laboratory, Isha Diagnostics,24 hrs,750,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BIOPSY LARGE SPECIMEN,Laboratory, Isha Diagnostics,24 hrs,1380,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BIOPSY EXTRA LARGE SPECIMEN,Laboratory, Isha Diagnostics,24 hrs,1840,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BIOPSY MEDIUM SPECIMEN,Laboratory, Isha Diagnostics,24 hrs,1040,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR CALCIUM,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR CHLORIDE(Clo2),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR CREATININE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR PHOSPHOROUS,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR POTASSIUM(K+),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE FOR SODIUM(Na),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINE PROTEIN,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ABSOLUTE GRANULOCYTE COUNT,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ABSOLUTE LYMPHOCYE COUNT,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ASCITIC FLUID ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BENCE -JONES PROTEIN,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BONE MARROW ASPIRATION REPORTING,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BONE MARROW ASPIRATION WITH PROCEDURE,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BUCCAL SMEAR FOR BARR BODIES,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CLOT RETRACTION,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COAGULATION MIXING STUDY,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COMPLETE URINE ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CSF ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DIRECT COOMB'S TEST (DCT),Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FACTOR V ACTIVITY,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Factor XIII Activity (Functional),Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FASTING URINE SUGAR (FUS),Laboratory, Isha Diagnostics,24 hrs,40,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FIBRIN DEGRADATION PRODUCTS (FDP),Laboratory, Isha Diagnostics,24 hrs,1400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FOETAL HAEMOGLOBIN ESTIMATION,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HAM'S TEST,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HISTOPATHOLOGY REPORT,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INDIRECT COOMB'S TEST (ICT),Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LE CELL PHENOMENON,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MANTOUX TEST,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PAUL BUNNEL TEST BY AGGLUTINATION,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PERICARDIAL FLUID CYTOLOGY ,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLEURAL FLUID ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLEURAL FLUID ANALYSIS( WITH CYTOLOGY),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
POST PRANDIAL URINE SUGAR (PPUS),Laboratory, Isha Diagnostics,24 hrs,40,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RANDOM URINE SUGAR (RUS),Laboratory, Isha Diagnostics,24 hrs,40,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SEMEN ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SICKLING TEST,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SPOT URINE CALCIUM,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SPOT URINE CREATININE,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STONE ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,350,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL FOR HANGING DROP,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL FOR OCCULT BLOOD,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL FOR PH,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL FOR REDUCING SUBSTANCE,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL OVA / CYST,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SYNOVIAL FLUID ANALYSIS( WITH CYTOLOGY),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TACROLIMUS LEVELS,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
THROMBIN TIME,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE  NICOTINE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE ACETONE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE ALBUMIN,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE BILE PIGMENT,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE BILE SALT,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE BILE SALT AND BILE PIGMENTS (BS & BP),Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE KETONE BODIES,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE MICROSCOPY,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE OCCULT BLOOD,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE PREGNANCY TEST (UPT),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE SUGAR,Laboratory, Isha Diagnostics,24 hrs,40,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE UROBILINOGEN,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL - CALPROTECTIN,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE FAT GLOBULINS,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
5-Hydroxy Indole Acetic Acid (5-HIAA),Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Clostridium Difficile Antigen,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE NITRATE,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Urine for Hemosiderin,Laboratory, Isha Diagnostics,24 hrs,700,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 HIV 1 RNA Viral Load (Quantitative) PCR,Laboratory, Isha Diagnostics,24 hrs,3600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANDROSTENEDIONE,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"AUTOIMMUNE GASTROINTESTINAL PANEL (IGA) - ANTIBODIES TO GLADIN,TTG,PARIETAL CELL,INTRINSIC FACTOR,SACCAROMYCES CERVISIAE",Laboratory, Isha Diagnostics,24 hrs,6500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BENZODIAZEPINE TEST - SERUM,Laboratory, Isha Diagnostics,24 hrs,1600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ELECTROPHORESIS   ( URINE ),Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ELECTROPHORESIS  ( HAEMOGLOBIN),Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B DNA, BY PCR (QUALITATIVE )",Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B DNA, VIRAL LOAD,  BY PCR (QUANTITATIVE )",Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS C RNA PCR (HCV RNA VIRAL LOAD ),Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HIV RNA PCR (VIRAL LOAD, QUANTITATIVE)",Laboratory, Isha Diagnostics,24 hrs,5700,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HPV DNA DETECTION (VAGINAL SWAB),Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IMMUNOFIXATION ELECTROPHORESIS,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MTB DNA PCR (WB-EDTA),Laboratory, Isha Diagnostics,24 hrs,3600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PHENETOIN LEVEL,Laboratory, Isha Diagnostics,24 hrs,1400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
QUADRUPLE MARKER TEST,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TISSUE - TB PCR,Laboratory, Isha Diagnostics,24 hrs,3800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MTB DNA PCR (SEMEN),Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Allergy Veg. Profile (Veg. Food + Inhalant),Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
JAK2 (V617F) Mutation PCR,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SWINE FLU (H1N1) RNA DETECTION RT PCR,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HIV-1 RNA Qualitative PCR,WB-EDTA PLASMA",Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
,Laboratory,,,,,,7:00 Hrs,21:00 Hrs,,
,Laboratory,,,,,,7:00 Hrs,21:00 Hrs,,
