Category Name,Lab Test Name,Base Price,Open Time,Closing Time,Block Time,Sunday Hours,Lab / Organization,Turnaround time,Discount,Clinic Address
Radiology,OPEN MRI EACH REGION,8500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology, MRI BRAIN,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR VENOGRAM,5000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI SPINE EACH REGION,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI ANY JOINT,7750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI PNS,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI BREAST,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI ABDOMEN,7750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI PELVIS,7750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI ABDOMEN & PELVIS,15500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRCP,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR UROGRAPHY,7250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR ANGIO ( NON CONTRAST),5000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR ANGIO ( CONTRAST),8000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI TWO ADJACENT REGION,9900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR PERIPHERAL ANGIO ( VENOUS PHASE),14000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI FULL SPINE,19500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI WHOLE SPINE SCREENING,15500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI NURO SCREENING (SPINE AND BRAIN),12000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI TOTAL BODY ,14000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MR PET WHOLE BODY,25000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI SCREENING OF BRAIN,5250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI SCREENING OF CERVICAL,5250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI SCREENING OF DORSAL,5250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI SCREENING OF LUMBAR,5250,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,MRI CONTRAST,3000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,"STOKE DISORDER:( MRI BRAIN, DIFFUSION, MRA)",10750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,"SEIZURES DISORDER: ( MRI BRAIN, TEMPORAL LOBE, GRADIENT STUDY)",10750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,"VISION DISORDER: ( MRI BRAIN, ORBIT, OPTIC NERVE)",10750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,"GIDDINESS , VERTIGO:( MRI, DRIVE, CP ANGLE STUDY)",10750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,"ONCOLOGY PROFILE: ( MRI, DIFFUSION, SPECTROSCOPY, Usg abdomen, CT CHEST)",22000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology," JOITN EVULATION:( MRI, CARTILAGE IMAGING)",10750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - BRAIN,2900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - PNS,3400,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT – NECK,3900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,HRCT OF THORAX,4900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT – ABDOMEN,4400,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT – PELVIS,3500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT-  KUB,3900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - HRCT TEMPORAL BONE (INNER EAR),4900,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - EXTREMITIES,5500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - 3D,5750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - CONTRAST,1500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CT - GUIDED FNAC,5500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S ROUTINE,1500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S PREGNANCY WITH DOPPLER,4000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,SMALL PARTS,2750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S SONOMAMMO,2750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S TVS SCAN,2000,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S 3D,3500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,RENAL DOPPLER,4500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,U/S GUIDED STUDY,5500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,DOPPLER EACH REGION,2750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,CAROTID DOPPLER ,2750,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
Radiology,ECHO,1500,7:00 Hrs,22:00 Hrs,11:00 - 16:00 Hrs,7:00 - 19:00 Hrs,Isha Diagnostics,24 hrs,10%,"Malleshwaram, Bangalore"
